iter	MultiClass
0	1.54632283
1	1.491114048
2	1.44059333
3	1.395776344
4	1.357273007
5	1.323221822
6	1.293961568
7	1.27192212
8	1.249155357
9	1.229775638
10	1.211941532
11	1.196815762
12	1.17943095
13	1.164813853
14	1.151876493
15	1.14245882
16	1.130556753
17	1.121298231
18	1.112119616
19	1.106137725
20	1.097231221
21	1.093235578
22	1.086570326
23	1.073677863
24	1.064407882
25	1.059428078
26	1.051370993
27	1.04389524
28	1.03733851
29	1.030338062
30	1.026074554
31	1.021023865
32	1.014791214
33	1.007834958
34	1.005769001
35	0.999164436
36	0.9949174502
37	0.9919976531
38	0.9897229513
39	0.9822909751
40	0.9820426609
41	0.9778844751
42	0.9734226359
43	0.9701964019
44	0.9685244844
45	0.9665356286
46	0.9618864364
47	0.9561436834
48	0.9518200684
49	0.9496681756
50	0.9476033162
51	0.9453727033
52	0.9427633812
53	0.9393874884
54	0.935577189
55	0.9332297049
56	0.9305714464
57	0.9282139974
58	0.925077156
59	0.9240528352
60	0.921905453
61	0.9203801469
62	0.9175851209
63	0.914896679
64	0.9121077032
65	0.9095160928
66	0.9079925523
67	0.9075462372
68	0.9051332948
69	0.9029214278
70	0.8997595191
71	0.8988143897
72	0.8976439801
73	0.896242306
74	0.8946041313
75	0.8932979069
76	0.8918643901
77	0.8892837479
78	0.8851013048
79	0.8847070175
80	0.8837572754
81	0.8823161601
82	0.881066111
83	0.878081769
84	0.8768290916
85	0.8745054683
86	0.8726173992
87	0.8718768174
88	0.8695404373
89	0.8684566199
90	0.8666868393
91	0.8660047525
92	0.8637167898
93	0.8617799404
94	0.8599204294
95	0.8584305434
96	0.8564801762
97	0.8546494519
98	0.8538675728
99	0.8521360471
100	0.8516052238
101	0.8484868996
102	0.8479750253
103	0.8452706042
104	0.842899828
105	0.8408698808
106	0.8399217918
107	0.8383329448
108	0.8370867001
109	0.8350856134
110	0.8331981859
111	0.8304569665
112	0.82721172
113	0.825284487
114	0.8227897718
115	0.820014066
116	0.8186868293
117	0.8167617803
118	0.812929988
119	0.8120638214
120	0.811307032
121	0.8093569938
122	0.808309423
123	0.8066123198
124	0.8059697858
125	0.8046220827
126	0.8025406675
127	0.8007190896
128	0.7998957645
129	0.7985048576
130	0.7959933089
131	0.7946908744
132	0.7940747713
133	0.7920471778
134	0.7902501677
135	0.7890363606
136	0.7880698476
137	0.7855607755
138	0.7837045901
139	0.7812780634
140	0.779900688
141	0.7781616123
142	0.7765175738
143	0.775634009
144	0.7748155434
145	0.7727091005
146	0.769921741
147	0.7685650952
148	0.7677253445
149	0.7667734995
150	0.7661236911
151	0.764968257
152	0.7634803483
153	0.7624672222
154	0.7615811105
155	0.7605271859
156	0.7595515435
157	0.7574345718
158	0.7552871535
159	0.7546191435
160	0.7530288292
161	0.7524104869
162	0.7516665719
163	0.7499979836
164	0.7492025201
165	0.7481183502
166	0.7474215954
167	0.7462069103
168	0.7446382318
169	0.744346142
170	0.7433281428
171	0.7420285988
172	0.7407553176
173	0.7386690986
174	0.7373437154
175	0.737145521
176	0.7367769845
177	0.7359385
178	0.7350524152
179	0.7334335164
180	0.7328975194
181	0.7313751061
182	0.7307988573
183	0.7298601698
184	0.7293225384
185	0.7287282634
186	0.7283988334
187	0.7263372243
188	0.7252488004
189	0.7243798782
190	0.7237643861
191	0.7227440003
192	0.722006837
193	0.7211314921
194	0.7205582648
195	0.7197721116
196	0.7195505389
197	0.7188131289
198	0.7179191898
199	0.716979886
200	0.7156873457
201	0.7150210671
202	0.7137303306
203	0.7123146642
204	0.7120133886
205	0.7112799235
206	0.7096898226
207	0.70877612
208	0.7073746288
209	0.7065419319
210	0.7059273062
211	0.7052421875
212	0.704576631
213	0.7031445008
214	0.7024466998
215	0.7018814929
216	0.700217611
217	0.6995135947
218	0.6984535315
219	0.6978635112
220	0.6974017004
221	0.697187185
222	0.6963374895
223	0.6957306973
224	0.6946061274
225	0.6937600643
226	0.6932126083
227	0.6919975997
228	0.6910902358
229	0.689553045
230	0.6888967053
231	0.6881155095
232	0.6877573621
233	0.6866344284
234	0.6859499891
235	0.6848390311
236	0.6844066
237	0.6841601783
238	0.6834848105
239	0.6830095676
240	0.681926088
241	0.6814087808
242	0.6808970925
243	0.6805286361
244	0.6784711331
245	0.677891661
246	0.677597515
247	0.6773915417
248	0.6766835617
249	0.6760667163
250	0.675620943
251	0.6748824216
252	0.6745027363
253	0.6739056951
254	0.6734297402
255	0.6730799931
256	0.67248402
257	0.6717850321
258	0.6712319237
259	0.6703261564
260	0.6700103746
261	0.6685912708
262	0.6678999576
263	0.6669991182
264	0.6663140667
265	0.6658651808
266	0.6649214133
267	0.6641129216
268	0.6634564569
269	0.6629455717
270	0.6623679672
271	0.6618164027
272	0.6612961978
273	0.6599564554
274	0.6595786993
275	0.6590444174
276	0.6588919371
277	0.6584022695
278	0.6580136399
279	0.6574430468
280	0.6566776151
281	0.6559383339
282	0.6555938046
283	0.6547049969
284	0.6540363331
285	0.6536277342
286	0.6528504138
287	0.6523146803
288	0.6511896883
289	0.6508531384
290	0.6502344529
291	0.649464711
292	0.6487830981
293	0.6480378626
294	0.6473588368
295	0.6469111771
296	0.6467635824
297	0.6460646123
298	0.6456906959
299	0.6451734442
300	0.6446186437
301	0.6439418116
302	0.6432981464
303	0.6425631062
304	0.6419950132
305	0.6416072351
306	0.6412182278
307	0.6407506824
308	0.6403226526
309	0.639205283
310	0.6389416051
311	0.6378490927
312	0.6374074149
313	0.637333135
314	0.6366870051
315	0.636457269
316	0.6356748774
317	0.6346306324
318	0.6340838747
319	0.6334655583
320	0.6330222501
321	0.6324650544
322	0.6317268045
323	0.6310471867
324	0.6304722844
325	0.6299976973
326	0.6295514697
327	0.6291639916
328	0.6288929656
329	0.628624146
330	0.6280579689
331	0.6271126832
332	0.6268023493
333	0.6262136061
334	0.6258733689
335	0.6255728291
336	0.6253960629
337	0.6244811915
338	0.6240350841
339	0.6236898774
340	0.6230438115
341	0.6221308206
342	0.6218653739
343	0.621454268
344	0.620759237
345	0.6201429124
346	0.6197362889
347	0.6193466254
348	0.6188660986
349	0.6185395319
350	0.6181865251
351	0.6178356886
352	0.6171699026
353	0.6166499041
354	0.6161932321
355	0.6156737578
356	0.6150657171
357	0.6146028863
358	0.614101173
359	0.6138067413
360	0.6133880783
361	0.6128623887
362	0.6125377345
363	0.6118965166
364	0.6112338178
365	0.6111325469
366	0.6108424473
367	0.609712332
368	0.609311081
369	0.6090793506
370	0.6088477988
371	0.6081791949
372	0.6076555527
373	0.6074799905
374	0.6066437406
375	0.6062013693
376	0.605927061
377	0.6053577789
378	0.6044396228
379	0.6040045881
380	0.6038905926
381	0.6032652872
382	0.6027820828
383	0.602382888
384	0.6016693779
385	0.6012001869
386	0.6009762473
387	0.6006536793
388	0.6000729944
389	0.5999449437
390	0.5994738049
391	0.5989190494
392	0.5984893819
393	0.5981796648
394	0.5974014694
395	0.5969355119
396	0.5967244802
397	0.5963735505
398	0.5961337613
399	0.5954749692
400	0.594422255
401	0.5942628047
402	0.5933822321
403	0.5925966156
404	0.5921859592
405	0.5919090312
406	0.5911197005
407	0.5905866894
408	0.5905046977
409	0.590263823
410	0.5898173333
411	0.5894721095
412	0.5888388008
413	0.5885424707
414	0.5884365566
415	0.5880639094
416	0.5879076894
417	0.5874336723
418	0.5870877473
419	0.5866366781
420	0.5864325702
421	0.5860479681
422	0.5857029065
423	0.5855114831
424	0.5849563052
425	0.5846209345
426	0.5841479264
427	0.5837193705
428	0.5833095638
429	0.5830757393
430	0.5825678377
431	0.5820399781
432	0.5817472544
433	0.5816457445
434	0.5814576062
435	0.5811625677
436	0.5808696852
437	0.58052003
438	0.580320943
439	0.5801049167
440	0.5800585555
441	0.5793429786
442	0.5788387352
443	0.5783908074
444	0.5779666781
445	0.577651151
446	0.5771199207
447	0.5766177492
448	0.5764516041
449	0.5761115063
450	0.5757029343
451	0.5756245634
452	0.5752606828
453	0.5750555806
454	0.5745549482
455	0.5744492836
456	0.5732997502
457	0.5730995525
458	0.5725687954
459	0.5723690243
460	0.5718586407
461	0.5716654899
462	0.5709578095
463	0.5704167654
464	0.5696632547
465	0.5695286459
466	0.5693725353
467	0.5690899884
468	0.568753746
469	0.5683717737
470	0.5680892626
471	0.5678190722
472	0.5674692826
473	0.5671720346
474	0.5667531473
475	0.5663176425
476	0.5658222895
477	0.5650177833
478	0.5645779714
479	0.5639765966
480	0.5636512942
481	0.5631434866
482	0.5625535221
483	0.5620591593
484	0.5616381544
485	0.560956397
486	0.5608742073
487	0.5605941067
488	0.5604485518
489	0.5600384436
490	0.5598340126
491	0.5595667112
492	0.5592370191
493	0.5589206113
494	0.5585262257
495	0.5583147879
496	0.5580457793
497	0.5571946622
498	0.5567810771
499	0.5563557041
500	0.5560584859
501	0.5559054162
502	0.5554072555
503	0.5551364486
504	0.5550373607
505	0.5545676521
506	0.5542802739
507	0.5540476769
508	0.5534502605
509	0.5528661877
510	0.5526956097
511	0.5524293358
512	0.551612179
513	0.5515601075
514	0.5512249837
515	0.5508116258
516	0.550339532
517	0.5497908254
518	0.5496300209
519	0.5493132272
520	0.5488100247
521	0.5483197673
522	0.5480691206
523	0.5477130429
524	0.5474792704
525	0.5473531405
526	0.5471139515
527	0.5467317534
528	0.5463825353
529	0.5461554002
530	0.5457729068
531	0.5453155769
532	0.5451880804
533	0.5450192986
534	0.5448924547
535	0.5442741677
536	0.5439282428
537	0.543638919
538	0.5430301428
539	0.5426258382
540	0.5422985553
541	0.5419840937
542	0.5415398401
543	0.5409291308
544	0.5406167137
545	0.5401729471
546	0.5396162305
547	0.5393105315
548	0.5388321755
549	0.5385933145
550	0.5382769239
551	0.5379037882
552	0.5377430535
553	0.5372165466
554	0.5370082598
555	0.5368621368
556	0.536651727
557	0.5363046233
558	0.5360283326
559	0.535741227
560	0.5354812218
561	0.535123532
562	0.5349082719
563	0.5343837303
564	0.534216485
565	0.534062394
566	0.5336285664
567	0.5329814811
568	0.5324966277
569	0.5321680164
570	0.5313972445
571	0.5312328205
572	0.5308657163
573	0.5305328004
574	0.5304009681
575	0.5299472643
576	0.529518603
577	0.5292505639
578	0.5288659897
579	0.5285966088
580	0.5281732754
581	0.5278007739
582	0.527378313
583	0.5269486774
584	0.5265887314
585	0.5264412427
586	0.5262484077
587	0.5258964917
588	0.5253051967
589	0.5250206218
590	0.5246795434
591	0.5244096418
592	0.5239588409
593	0.5236577334
594	0.5229626576
595	0.5226513582
596	0.5223641126
597	0.5220524718
598	0.5216810027
599	0.5213349578
600	0.5211375771
601	0.5209802545
602	0.5204055078
603	0.5202911832
604	0.5198090419
605	0.5195094426
606	0.5191735552
607	0.5189657082
608	0.5187979792
609	0.5186608769
610	0.5181853717
611	0.5179594096
612	0.517876863
613	0.5172568696
614	0.5171307257
615	0.5168928085
616	0.5168159179
617	0.5164992288
618	0.5162395113
619	0.5161220179
620	0.5159417718
621	0.5154657843
622	0.5150859767
623	0.5149523389
624	0.5141449679
625	0.5140087118
626	0.5138173758
627	0.5134164634
628	0.51315916
629	0.5127476139
630	0.5123712672
631	0.5121855434
632	0.5120131282
633	0.5116320339
634	0.5113668901
635	0.5110673582
636	0.5107849509
637	0.5104267584
638	0.5100508524
639	0.5095985599
640	0.5093751134
641	0.5089432143
642	0.5087668083
643	0.5085529179
644	0.5084527996
645	0.5081483632
646	0.5076100419
647	0.5074365788
648	0.5073222596
649	0.5069142807
650	0.5065148808
651	0.5063023637
652	0.5059730814
653	0.5054019868
654	0.504861085
655	0.5044761229
656	0.5042306968
657	0.5040877664
658	0.5037546827
659	0.5034643732
660	0.5031826402
661	0.5030597135
662	0.5028047803
663	0.502481649
664	0.5022574933
665	0.5020536136
666	0.5018233474
667	0.5013656965
668	0.5010274886
669	0.5008096241
670	0.5006355967
671	0.5004942243
672	0.499898718
673	0.4989899695
674	0.4989524795
675	0.4987304623
676	0.4985136715
677	0.4981378425
678	0.4978692967
679	0.497515937
680	0.4973852544
681	0.4971509351
682	0.4965921164
683	0.4962769873
684	0.496131821
685	0.4955349417
686	0.4954402141
687	0.4953774439
688	0.4952559327
689	0.4948922152
690	0.4947634201
691	0.4943826045
692	0.4941151605
693	0.4938439774
694	0.4935245896
695	0.4933017975
696	0.4930583285
697	0.4927841724
