UNIT,TAILS,KG,SALES PER KG,ABW,CHICKEN SIZE,PROVINCE,YEAR,MONTH,DAY,SupplyProvince,DemandProvince,Holiday
PAYAKUMBUH,1267,2856.0,18000.0,2.254143646,LARGE,SUMATERA BARAT,19,12,1,3885216,5993194,1
SINJAI,3310,7799.5,22637.8973,2.356344411,LARGE,SULAWESI SELATAN,19,12,1,5447863,5931514,1
BANDAR JAYA,8236,22197.0,15905.01419,2.69511899,LARGE,LAMPUNG,19,12,1,5404511,5618463,1
BANDAR LAMPUNG,2565,4971.0,18060.47073,1.938011696,MEDIUM,LAMPUNG,19,12,1,5404511,5618463,1
BANYUASIN,696,1464.4,16368.88828,2.104022989,LARGE,SUMATERA SELATAN,19,12,1,5758528,7021239,1
MUAROBUNGO,2616,6516.0,17791.03745,2.490825688,LARGE,JAMBI,19,12,1,2027640,3139312,1
JAMBI,1955,3380.2,17675.96592,1.729002558,MEDIUM,JAMBI,19,12,1,2027640,3139312,1
50 KOTA,11175,22478.4,18128.85259,2.011489933,LARGE,SUMATERA BARAT,19,12,1,3885216,5993194,1
MUARO JAMBI,8936,17277.4,17500.0,1.933460161,MEDIUM,JAMBI,19,12,1,2027640,3139312,1
PADANG,4238,5887.6,19757.15062,1.389240208,SMALL,SUMATERA BARAT,19,12,1,3885216,5993194,1
PARIAMAN,1992,3284.4,18947.23542,1.648795181,MEDIUM,SUMATERA BARAT,19,12,1,3885216,5993194,1
BENGKULU,10722,20147.6,17512.0461,1.879089722,MEDIUM,BENGKULU,19,12,1,554903,1339242,1
SENGKANG,1770,3511.0,24255.36884,1.983615819,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
GOWA,8020,14162.9,23120.39907,1.765947631,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
MAROS,4165,9395.3,23020.28674,2.25577431,LARGE,SULAWESI SELATAN,19,12,1,5447863,5931514,1
MANADO,5876,11151.6,23337.49417,1.897821647,MEDIUM,SULAWESI UTARA,19,12,1,418044,1591997,1
MAKASAR,648,1281.6,23274.96879,1.977777778,MEDIUM,SULAWESI SELATAN,19,12,1,5447863,5931514,1
KENDARI,4510,7035.3,25547.0982,1.559933481,MEDIUM,SULAWESI TENGGARA,19,12,1,109780,858620,1
GORONTALO,600,976.5,23000.0,1.6275,MEDIUM,GORONTALO,19,12,1,108310,521596,1
BULUKUMBA,4460,10437.7,23249.98323,2.34029148,LARGE,SUMATERA SELATAN,19,12,1,5758528,7021239,1
BONE,3225,7937.4,23164.10915,2.461209302,LARGE,SUMATERA SELATAN,19,12,1,5758528,7021239,1
TANJUNG,5110,8382.3,24369.83286,1.64037182,MEDIUM,KALIMANTAN SELATAN,19,12,1,5294465,4280602,1
PONTIANAK,2820,4284.64,21230.23638,1.519375887,MEDIUM,KALIMANTAN BARAT,19,12,1,4751179,3735503,1
PELALAWAN,1020,1899.6,19155.50642,1.862352941,MEDIUM,RIAU,19,12,1,10851716,7309435,1
BARABAI,10655,20234.5,24310.4139,1.899061473,MEDIUM,KALIMANTAN SELATAN,19,12,1,5294465,4280602,1
PELAIHARI,8245,15855.0,24800.0,1.922983626,MEDIUM,KALIMANTAN SELATAN,19,12,1,5294465,4280602,1
PARE-PARE(SIDRAP),4644,10539.5,23053.79762,2.269487511,LARGE,SULAWESI SELATAN,19,12,1,5447863,5931514,1
SIJUNJUNG,280,583.6,18000.0,2.084285714,LARGE,SUMATERA BARAT,19,12,1,3885216,5993194,1
SRAGEN,2874,5744.6,16150.0,1.99881698,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
BANDA ACEH,10858,23446.94,17196.49984,2.159416099,LARGE,ACEH,19,12,1,2687246,3930723,1
PURWAKARTA,7494,11706.4,16745.51912,1.562103016,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
BANJARMASIN,7910,14684.8,24978.73311,1.856485461,MEDIUM,KALIMANTAN SELATAN,19,12,1,5294465,4280602,1
WABIN,8650,14546.4,17282.18391,1.68166474,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
TANGERANG,1890,2779.9,17575.00018,1.470846561,SMALL,BANTEN,19,12,1,16349469,13433846,1
SUKABUMI,1792,2996.4,16625.0,1.672098214,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
BANDAR LAMPUNG,4352,9792.2,15675.0,2.250045956,LARGE,LAMPUNG,19,12,1,5404511,5618463,1
TULUNGAGUNG,4928,8752.6,16872.81276,1.776095779,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
KEDIRI,2393,4530.9,17290.0,1.893397409,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
BOJONEGORO,1430,2896.2,17385.0,2.025314685,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
PROBOLINGGO,1496,2916.0,17100.0,1.949197861,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
MALANG,2694,5776.7,17100.0,2.144283593,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
BLITAR,1664,3287.2,17290.0,1.975480769,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
WONOGIRI,3889,8550.0,16150.0,2.198508614,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
ASAHAN,9379,18556.4,19207.64265,1.978505171,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
UNGARAN,1317,2850.0,16150.0,2.164009112,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
DEMAK,1362,2850.0,15675.0,2.092511013,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
PURWAKARTA,2832,5086.4,16625.0,1.796045198,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
YOGYAKARTA,1473,2850.0,15675.0,1.934826884,MEDIUM,DI YOGYAKARTA,19,12,1,4206148,6313628,1
SALATIGA,1289,2850.0,16150.0,2.211016292,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
MAGELANG,2786,5700.0,16150.0,2.045944006,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
KLATEN,2764,5700.0,15675.0,2.062228654,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
WABIN,1512,2993.4,17100.0,1.979761905,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
TEBING TINGGI,14548,27333.5,18785.78814,1.878849326,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
RANTAU PRAPAT,13331,25469.1,19273.32846,1.91051684,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
PEMATANG SIANTAR,7240,13753.2,19000.0,1.89961326,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
MEDAN,4930,10483.2,18981.32536,2.126409736,LARGE,SULAWESI UTARA,19,12,1,418044,1591997,1
KISARAN,6780,10399.1,19442.16326,1.53379056,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
BINJAI,4700,9205.8,18881.453,1.958680851,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
KUDUS,2907,5700.0,15828.41667,1.960784314,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
BANJARBARU,15320,27333.1,24993.32238,1.784144909,MEDIUM,KALIMANTAN SELATAN,19,12,1,5294465,4280602,1
MAMUJU,12788,25780.1,22277.01793,2.015960275,LARGE,SULAWESI BARAT,19,12,1,109780,498595,1
MOJOKERTO,7295,14627.5,18006.7168,2.005140507,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
SUKABUMI,10634,18269.6,17486.64995,1.718036487,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
PANDEGLANG,2464,4139.4,17000.0,1.679951299,MEDIUM,BANTEN,19,12,1,16349469,13433846,1
TABANAN,7547,12968.0,19694.6715,1.718298662,MEDIUM,BALI,19,12,1,5120529,5141045,1
SINGARAJA,6778,13837.75,20000.0,2.041568309,LARGE,BALI,19,12,1,5120529,5141045,1
NEGARA,3984,8124.75,20000.0,2.03934488,LARGE,BALI,19,12,1,5120529,5141045,1
LOMBOK,4954,8916.0,19981.15747,1.799757771,MEDIUM,NUSA TENGGARA BARAT,19,12,1,2511500,3624396,1
KLUNGKUNG,5281,7633.25,19729.26014,1.445417535,SMALL,BALI,19,12,1,5120529,5141045,1
KEDIRI BALI,13403,22298.75,19812.39419,1.663713348,MEDIUM,BALI,19,12,1,5120529,5141045,1
KARANGASEM,3955,6761.75,20000.0,1.709671302,MEDIUM,BALI,19,12,1,5120529,5141045,1
GIANYAR,10107,17098.5,19836.6962,1.691748293,MEDIUM,BALI,19,12,1,5120529,5141045,1
DENPASAR,5917,10787.0,20000.0,1.823052222,MEDIUM,BALI,19,12,1,5120529,5141045,1
BADUNG,4585,7080.0,19469.66808,1.544165758,MEDIUM,BALI,19,12,1,5120529,5141045,1
TEBING TINGGI,3840,6238.7,16945.80313,1.624661458,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
MEDAN,3968,6537.8,17266.75839,1.647631048,MEDIUM,SULAWESI UTARA,19,12,1,418044,1591997,1
KISARAN,3248,3465.8,17900.1812,1.06705665,SMALL,SUMATERA UTARA,19,12,1,10364174,11238306,1
BINJAI,4096,6533.4,17289.31506,1.595068359,MEDIUM,SUMATERA UTARA,19,12,1,10364174,11238306,1
BANDA ACEH,10362,12804.5,16171.41833,1.235717043,SMALL,ACEH,19,12,1,2687246,3930723,1
TULUNGAGUNG,1768,2868.5,16850.0,1.622454751,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
MOJOKERTO,1904,3271.5,16850.0,1.71822479,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
LAMONGAN,2405,2745.5,17250.0,1.141580042,SMALL,JAWA TIMUR,19,12,1,36715663,43989186,1
KEDIRI,3560,5799.5,16924.52798,1.629073034,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
SINGOSARI,1632,2652.0,16850.0,1.625,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
PROBOLINGGO,1940,3035.0,16850.0,1.56443299,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
MALANG,2016,3260.4,16850.0,1.617261905,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
CIREBON,4152,6725.5,17150.0,1.619821773,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
TANGERANG,1920,3095.9,18200.0,1.612447917,MEDIUM,BANTEN,19,12,1,16349469,13433846,1
TULUNGAGUNG,3800,8847.0,18257.6184,2.328157895,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
TANGERANG,2950,5607.8,18000.0,1.900949153,MEDIUM,BANTEN,19,12,1,16349469,13433846,1
KLATEN,5719,10595.8,16879.26348,1.852736492,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
BOJONEGORO,1496,2914.0,17000.0,1.947860963,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
MAGELANG,8952,22433.4,16683.52902,2.505965147,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
KEDIRI,17703,39243.5,17673.55231,2.216771169,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
KULONPROGO,4174,8899.2,16498.18635,2.132055582,LARGE,DI YOGYAKARTA,19,12,1,4206148,6313628,1
BOJONEGORO,9379,16001.0,17287.56328,1.706045421,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
SINGOSARI,1298,2581.5,17852.8375,1.988828968,MEDIUM,JAWA TIMUR,19,12,1,36715663,43989186,1
MALANG,5830,16127.3,17904.45084,2.76626072,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
JEMBER,9296,19512.0,18000.0,2.098967298,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
BLITAR,9564,21295.9,17792.4577,2.22667294,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
WONOGIRI,3075,6531.0,16649.93875,2.123902439,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
SRAGEN,12414,24739.7,16635.72719,1.992887063,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
SOLO,5436,11534.5,16865.93264,2.121872701,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
PONOROGO,4424,8407.0,16933.80516,1.900316456,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
UNGARAN,5329,10497.0,17000.0,1.969787953,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
SEMARANG,2834,5403.0,17000.0,1.90649259,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
PROBOLINGGO,10492,21993.5,17750.80819,2.096216165,LARGE,JAWA TIMUR,19,12,1,36715663,43989186,1
DEMAK,7812,16664.6,16500.0,2.133205325,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
KUDUS,21912,54111.4,16604.97862,2.469487039,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
YOGYAKARTA,8902,18560.4,16641.26527,2.08496967,LARGE,DI YOGYAKARTA,19,12,1,4206148,6313628,1
PURWAKARTA,3376,3961.2,17741.99737,1.173341232,SMALL,JAWA BARAT,19,12,1,64997688,51933021,1
SUMEDANG,612,988.8,17000.0,1.615686275,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
CIREBON,6874,13161.0,16566.1196,1.914605761,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
GARUT,3980,7007.4,16524.15161,1.760653266,MEDIUM,JAWA BARAT,19,12,1,64997688,51933021,1
BOGOR,2860,5813.6,18000.0,2.032727273,LARGE,JAWA BARAT,19,12,1,64997688,51933021,1
PEKALONGAN,14012,27630.0,16613.50887,1.971881245,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
PURBALINGGA,16988,35773.5,16543.65662,2.105809984,LARGE,JAWA TENGAH,19,12,1,57880193,32000912,1
PURWOKERTO,16621,27715.0,16069.56522,1.667468865,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
TEGAL,12855,22712.0,16756.7013,1.766783353,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
BREBES,18357,32813.0,16540.9289,1.78749251,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
BLORA,4805,8460.0,16076.83215,1.760665973,MEDIUM,JAWA TENGAH,19,12,1,57880193,32000912,1
PARE-PARE(SIDRAP),10420,22231.5,22310.71678,2.133541267,LARGE,SULAWESI SELATAN,19,12,2,5447863,5931514,0
PALU,7305,15382.7,23306.08411,2.105776865,LARGE,SULAWESI TENGAH,19,12,2,277314,1276180,0
PALOPO,16517,33884.1,23096.19704,2.051468184,LARGE,SULAWESI SELATAN,19,12,2,5447863,5931514,0
GOWA,6580,12513.0,22081.85088,1.901671733,MEDIUM,SULAWESI SELATAN,19,12,2,5447863,5931514,0
MANADO,8604,16172.4,23420.10153,1.879637378,MEDIUM,SULAWESI UTARA,19,12,2,418044,1591997,0
MAKASAR,3180,5129.3,22770.65097,1.612987421,MEDIUM,SULAWESI SELATAN,19,12,2,5447863,5931514,0
SENGKANG,5210,10349.0,23145.22176,1.986372361,MEDIUM,SULAWESI SELATAN,19,12,2,5447863,5931514,0
KENDARI,11010,17763.2,25392.75018,1.613369664,MEDIUM,SULAWESI TENGGARA,19,12,2,109780,858620,0
MAROS,11150,21230.9,22173.00774,1.904116592,MEDIUM,SULAWESI SELATAN,19,12,2,5447863,5931514,0
MAMUJU,7450,16285.9,22728.73467,2.186026846,LARGE,SULAWESI BARAT,19,12,2,109780,498595,0
PRINGSEWU,23271,45463.4,16290.34828,1.953650466,MEDIUM,LAMPUNG,19,12,2,5404511,5618463,0
BANDAR JAYA,5233,9718.2,17311.15227,1.857099178,MEDIUM,LAMPUNG,19,12,2,5404511,5618463,0
BANDAR LAMPUNG,12889,27531.8,16497.14512,2.136069517,LARGE,LAMPUNG,19,12,2,5404511,5618463,0
METRO,7817,14941.6,17630.6848,1.91142382,MEDIUM,LAMPUNG,19,12,2,5404511,5618463,0
TANJUNG BINTANG,6392,10284.6,18193.30455,1.608979975,MEDIUM,LAMPUNG,19,12,2,5404511,5618463,0
TULANG BAWANG,5845,10310.6,17877.23508,1.764003422,MEDIUM,LAMPUNG,19,12,2,5404511,5618463,0
BANYUASIN,6284,10579.9,16943.23198,1.68362508,MEDIUM,SUMATERA SELATAN,19,12,2,5758528,7021239,0
BENGKULU,10378,18975.8,17452.66603,1.828464059,MEDIUM,BENGKULU,19,12,2,554903,1339242,0
JAMBI,8440,15227.2,17074.69528,1.804170616,MEDIUM,JAMBI,19,12,2,2027640,3139312,0
GORONTALO,5351,11864.9,21723.46585,2.217323865,LARGE,GORONTALO,19,12,2,108310,521596,0
LUBUKLINGGAU,9959,20807.6,16636.45495,2.089326238,LARGE,SUMATERA SELATAN,19,12,2,5758528,7021239,0
SINJAI,5050,12289.8,22268.43399,2.433623762,LARGE,SULAWESI SELATAN,19,12,2,5447863,5931514,0
BULUKUMBA,3815,8412.3,22834.71821,2.205058978,LARGE,SUMATERA SELATAN,19,12,2,5758528,7021239,0
TULUNGAGUNG,8052,15175.0,17333.44316,1.884624938,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
TANJUNG,5270,7659.7,24213.93136,1.45345351,SMALL,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
MUARAENIM,23208,48769.4,16549.02254,2.101404688,LARGE,SUMATERA SELATAN,19,12,2,5758528,7021239,0
WONOGIRI,4452,9280.4,16733.16452,2.084546271,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
BLITAR,14343,31653.0,17497.60054,2.206860489,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
JEMBER,8444,18103.5,17958.32021,2.143948366,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
MALANG,11144,29174.3,17804.32264,2.617937904,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
PROBOLINGGO,16728,32524.5,17350.63721,1.944314921,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
SINGOSARI,599,1232.0,17714.28571,2.056761269,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
BOJONEGORO,9939,16613.0,16962.10197,1.671496126,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
KEDIRI,11934,25782.2,17850.7478,2.16039886,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
LAMONGAN,3533,7758.0,17861.87162,2.195867535,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
MOJOKERTO,5022,10892.5,17935.7356,2.168956591,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
BALIKPAPAN,1460,2438.4,26858.61631,1.670136986,MEDIUM,KALIMANTAN TIMUR,19,12,2,2993382,5379063,0
BANJARBARU,12145,20884.9,24451.47212,1.719629477,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
BANJARMASIN,6130,11310.9,24424.13513,1.845171289,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
BARABAI,14541,28347.3,24466.77109,1.949473901,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
PELAIHARI,9708,19617.3,24207.45974,2.020735476,LARGE,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
PENAJAM PASER UTARA,10360,18881.5,25436.15708,1.82253861,MEDIUM,KALIMANTAN TIMUR,19,12,2,2993382,5379063,0
PONTIANAK,12630,23711.93,20175.48761,1.877429137,MEDIUM,KALIMANTAN BARAT,19,12,2,4751179,3735503,0
SAMARINDA,3430,5729.1,26558.07195,1.670291545,MEDIUM,KALIMANTAN TIMUR,19,12,2,2993382,5379063,0
SANGATTA,2600,4134.4,26353.31608,1.590153846,MEDIUM,KALIMANTAN TIMUR,19,12,2,2993382,5379063,0
SEPINGGAN,11770,20347.7,25953.66552,1.728776551,MEDIUM,KALIMANTAN TIMUR,19,12,2,2993382,5379063,0
BONE,4560,10202.3,22387.04508,2.237346491,LARGE,SUMATERA SELATAN,19,12,2,5758528,7021239,0
MUAROBUNGO,13185,30152.6,17271.43928,2.286886614,LARGE,JAMBI,19,12,2,2027640,3139312,0
WONOGIRI,1234,2850.0,16150.0,2.309562399,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
50 KOTA,8902,15883.0,18036.61147,1.784205796,MEDIUM,SUMATERA BARAT,19,12,2,3885216,5993194,0
UNGARAN,1337,2850.0,16150.0,2.131637996,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
SRAGEN,3975,8550.0,15675.0,2.150943396,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
BLITAR,5378,9280.4,16629.05317,1.725622908,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
PROBOLINGGO,1568,2946.0,15675.0,1.878826531,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
SINGOSARI,1218,2041.0,16972.50906,1.675697865,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
BOJONEGORO,1344,3092.5,17100.0,2.300967262,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
KEDIRI,1568,3101.0,17290.0,1.977678571,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
MOJOKERTO,1485,2920.5,16255.16418,1.966666667,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
TULUNGAGUNG,2984,6138.6,17100.0,2.057171582,LARGE,JAWA TIMUR,19,12,2,36715663,43989186,0
BANDAR LAMPUNG,2876,6997.6,15200.0,2.43310153,LARGE,LAMPUNG,19,12,2,5404511,5618463,0
METRO,1536,3076.2,15200.0,2.002734375,LARGE,LAMPUNG,19,12,2,5404511,5618463,0
PRINGSEWU,2560,5471.4,15445.06159,2.137265625,LARGE,LAMPUNG,19,12,2,5404511,5618463,0
SUKABUMI,3584,5933.4,16625.0,1.655524554,MEDIUM,JAWA BARAT,19,12,2,64997688,51933021,0
TANGERANG,2268,3100.8,17100.0,1.367195767,SMALL,BANTEN,19,12,2,16349469,13433846,0
WABIN,7204,11310.2,16576.25267,1.569988895,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
PARUNG,1920,2948.0,17575.0,1.535416667,MEDIUM,JAWA BARAT,19,12,2,64997688,51933021,0
PURWAKARTA,3426,5625.4,17100.0,1.641973147,MEDIUM,JAWA BARAT,19,12,2,64997688,51933021,0
CIANJUR,1512,2672.4,16435.0,1.767460317,MEDIUM,JAWA BARAT,19,12,2,64997688,51933021,0
CIPANAS,2176,2885.4,17100.0,1.326011029,SMALL,JAWA BARAT,19,12,2,64997688,51933021,0
SUBANG(P),3810,6032.1,16235.57335,1.583228346,MEDIUM,JAWA BARAT,19,12,2,64997688,51933021,0
SRAGEN,6940,14442.8,16497.30939,2.081095101,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
SEMARANG,1360,2850.0,16150.0,2.095588235,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
PALEMBANG,9302,17175.2,17099.83872,1.846398624,MEDIUM,SUMATERA SELATAN,19,12,2,5758528,7021239,0
KUDUS,2913,5700.0,16150.0,1.956745623,MEDIUM,JAWA TENGAH,19,12,2,57880193,32000912,0
CIPANAS,2706,5793.4,16815.0,2.140946046,LARGE,JAWA BARAT,19,12,2,64997688,51933021,0
BANGKINANG,8538,12849.9,19533.70454,1.505024596,MEDIUM,RIAU,19,12,2,10851716,7309435,0
MUARO JAMBI,14685,28244.4,17000.0,1.923350358,MEDIUM,JAMBI,19,12,2,2027640,3139312,0
PADANG,6045,10225.8,18372.1567,1.691612903,MEDIUM,SUMATERA BARAT,19,12,2,3885216,5993194,0
PARIAMAN,6601,10093.0,18501.53572,1.529010756,MEDIUM,SUMATERA BARAT,19,12,2,3885216,5993194,0
PAYAKUMBUH,12572,26532.8,17288.44298,2.110467706,LARGE,SUMATERA BARAT,19,12,2,3885216,5993194,0
PELALAWAN,10399,17101.4,19253.32429,1.644523512,MEDIUM,RIAU,19,12,2,10851716,7309435,0
RENGAT,8729,14676.6,19312.10226,1.681360981,MEDIUM,RIAU,19,12,2,10851716,7309435,0
SIJUNJUNG,8801,19586.8,17347.44828,2.225519827,LARGE,SUMATERA BARAT,19,12,2,3885216,5993194,0
ASAHAN,12915,25093.7,18808.00161,1.942988773,MEDIUM,SUMATERA UTARA,19,12,2,10364174,11238306,0
BANDA ACEH,14261,22922.38,17965.21042,1.607347311,MEDIUM,ACEH,19,12,2,2687246,3930723,0
BINJAI,6472,12973.4,18800.44707,2.004542645,LARGE,SUMATERA UTARA,19,12,2,10364174,11238306,0
KISARAN,4486,6568.7,19324.79791,1.464266607,SMALL,SUMATERA UTARA,19,12,2,10364174,11238306,0
MEDAN,6621,12075.9,19064.59808,1.823878568,MEDIUM,SULAWESI UTARA,19,12,2,418044,1591997,0
PEMATANG SIANTAR,8464,15953.5,19433.05294,1.884865312,MEDIUM,SUMATERA UTARA,19,12,2,10364174,11238306,0
RANTAU PRAPAT,10151,19453.2,19212.61026,1.916382622,MEDIUM,SUMATERA UTARA,19,12,2,10364174,11238306,0
TEBING TINGGI,9840,16503.8,18969.74636,1.677215447,MEDIUM,SUMATERA UTARA,19,12,2,10364174,11238306,0
TANGERANG,2540,5704.8,17100.0,2.245984252,LARGE,BANTEN,19,12,2,16349469,13433846,0
KLATEN,1318,2850.0,15675.0,2.162367223,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
KULONPROGO,1569,2850.0,15675.0,1.816443595,MEDIUM,DI YOGYAKARTA,19,12,2,4206148,6313628,0
MAGELANG,2749,5770.5,15434.59839,2.099126955,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
SALATIGA,1536,2850.0,15675.0,1.85546875,MEDIUM,JAWA TENGAH,19,12,2,57880193,32000912,0
DEMAK,1311,2849.0,15675.0,2.173150267,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
SOLO,1497,3028.0,16654.39234,2.022712091,LARGE,JAWA TENGAH,19,12,2,57880193,32000912,0
PEKANBARU,10386,22548.8,17783.32772,2.171076449,LARGE,RIAU,19,12,2,10851716,7309435,0
MADIUN,1447,1628.5,11000.0,1.125431928,SMALL,JAWA TIMUR,19,12,2,36715663,43989186,0
WONOGIRI,2816,5346.5,16948.4141,1.898615057,MEDIUM,JAWA TENGAH,19,12,2,57880193,32000912,0
JEMBER,2048,3382.0,16850.0,1.651367188,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
PROBOLINGGO,4480,6810.0,16678.59765,1.520089286,MEDIUM,JAWA TIMUR,19,12,2,36715663,43989186,0
SINGOSARI,1904,2710.7,16500.0,1.423686975,SMALL,JAWA TIMUR,19,12,2,36715663,43989186,0
BOJONEGORO,4714,5847.7,17250.0,1.240496394,SMALL,JAWA TIMUR,19,12,2,36715663,43989186,0
LAMONGAN,4352,5863.5,16881.49143,1.347311581,SMALL,JAWA TIMUR,19,12,2,36715663,43989186,0
TULUNGAGUNG,6544,8956.0,17005.41257,1.368581907,SMALL,JAWA TIMUR,19,12,2,36715663,43989186,0
BANJARBARU,1670,2872.0,17880.84958,1.719760479,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
BANJARMASIN,1630,2707.8,17932.93449,1.661226994,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
BARABAI,1680,2373.4,18500.0,1.412738095,SMALL,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
PELAIHARI,6550,10440.7,17620.5786,1.594,MEDIUM,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
TANJUNG,2000,2432.1,18900.0,1.21605,SMALL,KALIMANTAN SELATAN,19,12,2,5294465,4280602,0
BONE,2000,2379.72,17917.76848,1.18986,SMALL,SUMATERA SELATAN,19,12,2,5758528,7021239,0
