,Date,Holiday
,19/11/20,False
,20/11/20,False
,21/11/20,False
,22/11/20,True
,23/11/20,False
,24/11/20,False
,25/11/20,False
,26/11/20,False
,27/11/20,False
,28/11/20,False
,29/11/20,True
,30/11/20,False
,01/12/20,False
,02/12/20,False
,03/12/20,False
,04/12/20,False
,05/12/20,False
,06/12/20,True
,07/12/20,False
,08/12/20,False
,09/12/20,False
,10/12/20,False
,11/12/20,False
,12/12/20,False
,13/12/20,True
,14/12/20,False
,15/12/20,False
,16/12/20,False
,17/12/20,False
,18/12/20,False
,19/12/20,False
,20/12/20,True
,21/12/20,False
,22/12/20,False
,23/12/20,False
,24/12/20,True
,25/12/20,True
,26/12/20,True
,27/12/20,True
,28/12/20,False
,29/12/20,False
,30/12/20,False
,31/12/20,False
,01/01/21,True
,02/01/21,False
,03/01/21,True
,04/01/21,False
,05/01/21,False
,06/01/21,False
,07/01/21,False
,08/01/21,False
,09/01/21,False
,10/01/21,True
,11/01/21,False
,12/01/21,False
,13/01/21,False
,14/01/21,False
,15/01/21,False
,16/01/21,False
,17/01/21,True
,18/01/21,False
,19/01/21,False
,20/01/21,False
,21/01/21,False
,22/01/21,False
,23/01/21,False
,24/01/21,True
,25/01/21,False
,26/01/21,False
,27/01/21,False
,28/01/21,False
,29/01/21,False
,30/01/21,False
,31/01/21,True
,01/02/21,False
,02/02/21,False
,03/02/21,False
,04/02/21,False
,05/02/21,False
,06/02/21,False
,07/02/21,True
,08/02/21,False
,09/02/21,False
,10/02/21,False
,11/02/21,False
,12/02/21,True
,13/02/21,False
,14/02/21,True
,15/02/21,False
,16/02/21,False
,17/02/21,False
,18/02/21,False
,19/02/21,False
,20/02/21,False
,21/02/21,True
,22/02/21,False
,23/02/21,False
,24/02/21,False
,25/02/21,False
,26/02/21,False
,27/02/21,False
,28/02/21,True
,01/03/21,False
,02/03/21,False
,03/03/21,False
,04/03/21,False
,05/03/21,False
,06/03/21,False
,07/03/21,True
,08/03/21,False
,09/03/21,False
,10/03/21,False
,11/03/21,True
,12/03/21,True
,13/03/21,False
,14/03/21,True
,15/03/21,False
,16/03/21,False
,17/03/21,False
,18/03/21,False
,19/03/21,False
,20/03/21,False
,21/03/21,True
,22/03/21,False
,23/03/21,False
,24/03/21,False
,25/03/21,False
,26/03/21,False
,27/03/21,False
,28/03/21,True
,29/03/21,False
,30/03/21,False
,31/03/21,False
,01/04/21,False
,02/04/21,True
,03/04/21,False
,04/04/21,True
,05/04/21,False
,06/04/21,False
,07/04/21,False
,08/04/21,False
,09/04/21,False
,10/04/21,False
,11/04/21,True
,12/04/21,False
,13/04/21,True
,14/04/21,True
,15/04/21,True
,16/04/21,True
,17/04/21,True
,18/04/21,True
,19/04/21,True
,20/04/21,True
,21/04/21,True
,22/04/21,True
,23/04/21,True
,24/04/21,True
,25/04/21,True
,26/04/21,True
,27/04/21,True
,28/04/21,True
,29/04/21,True
,30/04/21,True
